CustomerID,Age,Entrepreneur,Unemployed,Married,Divorced,High School,College,Partition,AverageBalance
3,41,0,0,0,1,0,0,s,5291
6,36,0,0,0,0,0,0,s,118.3
7,35,0,0,1,0,0,0,s,176.8
9,49,0,0,0,0,0,0,s,235.3
10,49,0,0,1,0,0,0,s,595.4
19,44,0,0,1,0,0,0,s,322.4
30,32,0,0,1,0,0,0,s,1756.3
34,48,0,0,1,0,0,0,s,3.9
40,51,0,0,1,0,0,0,s,1225.9
44,50,0,0,1,0,0,0,s,557.7
46,52,0,0,1,0,0,0,s,417.3
51,47,0,0,1,0,0,0,s,88.4
52,33,0,0,0,1,0,0,s,1840.8
58,51,0,0,1,0,0,0,s,2965.3
63,46,0,0,1,0,0,0,s,773.5
64,45,0,0,0,1,0,0,s,2349.1
67,38,0,0,1,0,0,0,s,1933.1
69,38,0,0,1,0,0,0,s,603.2
74,48,0,0,0,0,0,0,s,1401.4
75,40,0,0,1,0,0,0,s,23
79,26,0,0,0,0,0,0,s,158.6
85,50,0,0,1,0,0,0,s,97.5
86,36,0,0,0,1,0,0,s,295.1
87,56,0,0,0,1,0,0,s,170
90,55,0,0,1,0,0,0,s,445.9
93,60,0,0,1,0,0,0,s,577.2
96,57,0,0,1,0,0,0,s,279.5
101,46,0,0,0,1,0,0,s,65
102,51,0,0,1,0,0,0,s,748.8
103,38,0,0,1,0,0,0,s,60
111,42,0,0,1,0,0,0,s,605.8
116,52,0,0,1,0,0,0,s,1056.9
121,55,0,0,1,0,0,0,s,97
124,50,0,0,1,0,0,0,s,106.6
127,57,0,0,1,0,0,0,s,2202.2
131,52,0,0,1,0,0,0,s,8171.8
135,40,0,0,1,0,0,0,s,93.6
137,44,0,0,1,0,0,0,s,165.1
139,45,0,0,1,0,0,0,s,529.1
140,59,0,0,1,0,0,0,s,1142.7
147,46,0,0,1,0,0,0,s,124.8
149,56,0,0,1,0,0,0,s,73
151,54,0,0,1,0,0,0,s,709.8
152,30,0,0,1,0,0,0,s,11.7
155,39,0,0,1,0,0,0,s,663
160,38,0,0,1,0,0,0,s,5086.9
162,41,0,0,1,0,0,0,s,1708.2
172,35,0,0,1,0,0,0,s,297.7
173,41,0,0,1,0,0,0,s,130
175,50,0,0,1,0,0,0,s,595.4
176,34,0,0,0,0,0,0,s,144
177,52,0,0,1,0,0,0,s,582.4
178,53,0,0,0,0,0,0,s,49
180,39,0,0,1,0,0,0,s,577.2
183,45,0,0,1,0,0,0,s,704.6
191,49,0,0,0,1,0,0,s,145.6
197,49,0,0,1,0,0,0,s,219.7
198,50,0,0,0,0,0,0,s,235.3
199,30,0,0,1,0,0,0,s,811.2
203,56,0,0,1,0,0,0,s,4630.6
206,58,0,0,1,0,0,0,s,1454.7
213,60,0,0,1,0,1,0,s,50.7
216,42,0,0,0,0,1,0,s,98.8
225,55,0,0,0,0,1,0,s,1042.6
226,26,0,0,0,0,1,0,s,106.6
227,60,0,0,0,1,1,0,s,119.6
231,53,0,0,0,1,1,0,s,409.5
233,38,0,0,1,0,1,0,s,83
238,33,0,0,0,0,1,0,s,457.6
247,31,0,0,0,0,1,0,s,15.6
253,38,0,0,0,0,1,0,s,510.9
255,40,0,0,0,0,1,0,s,341.9
258,48,0,0,1,0,1,0,s,236.6
259,34,0,0,0,1,1,0,s,87.1
265,40,0,0,0,0,1,0,s,141.7
268,37,0,0,0,0,1,0,s,182
271,34,0,0,1,0,1,0,s,659.1
273,30,0,0,0,1,1,0,s,107.9
275,34,0,0,0,0,1,0,s,140
276,36,0,0,1,0,1,0,s,830.7
279,56,0,0,0,1,1,0,s,1011.4
281,35,0,0,1,0,1,0,s,89.7
283,39,0,0,1,0,1,0,s,135.2
284,29,0,0,1,0,1,0,s,195
288,29,0,0,1,0,1,0,s,236.6
291,40,0,0,1,0,1,0,s,7.8
293,43,0,0,0,0,1,0,s,646.1
296,38,0,0,1,0,1,0,s,3961.1
299,30,0,0,0,0,1,0,s,149.5
301,48,0,0,1,0,1,0,s,4880.2
305,30,0,0,1,0,1,0,s,5.2
306,35,0,0,1,0,1,0,s,40
307,36,0,0,0,1,1,0,s,151
310,31,0,0,0,0,1,0,s,388.7
312,38,0,0,0,0,1,0,s,130
313,49,0,0,1,0,1,0,s,423.8
319,44,0,0,1,0,1,0,s,76107.2
326,50,0,0,1,0,1,0,s,206.7
331,48,0,0,1,0,1,0,s,466.7
339,48,0,0,0,1,1,0,s,348.4
