CustomerID,Age,Entrepreneur,Unemployed,Married,Divorced,High School,College,AverageBalance
1,36,0,0,0,0,0,0,222.3
2,46,0,0,1,0,0,0,358.8
4,47,0,0,1,0,0,0,249.6
5,52,0,0,1,0,0,0,351
8,46,0,0,1,0,0,0,52
11,37,0,0,1,0,0,0,314.6
12,56,0,0,1,0,0,0,262.6
13,34,0,0,0,1,0,0,12439.7
14,56,0,0,0,1,0,0,232.7
15,29,0,0,1,0,0,0,811.2
16,43,0,0,1,0,0,0,19.5
17,57,0,0,0,1,0,0,816.4
18,51,0,0,1,0,0,0,855.4
20,39,0,0,1,0,0,0,570.7
21,51,0,0,1,0,0,0,1729
22,41,0,0,1,0,0,0,397.8
23,47,0,0,0,1,0,0,464.1
24,46,0,0,1,0,0,0,40.3
25,57,0,0,0,1,0,0,1.3
26,53,0,0,1,0,0,0,296.4
27,58,0,0,1,0,0,0,1142.7
28,35,0,0,0,0,0,0,10.4
29,52,0,0,0,0,0,0,115
31,49,0,0,0,1,0,0,451.1
32,49,0,0,1,0,0,0,396.5
33,43,0,0,1,0,0,0,408.2
35,40,0,0,1,0,0,0,245.7
36,42,0,0,1,0,0,0,2011.1
37,30,0,0,1,0,0,0,222.3
38,33,0,0,0,0,0,0,335.4
39,43,0,0,1,0,0,0,670.8
41,40,0,0,1,0,0,0,1708.2
42,30,0,0,0,1,0,0,1341.6
43,45,0,0,1,0,0,0,1163.5
45,42,0,0,0,0,0,0,817.7
47,52,0,0,1,0,0,0,2931.5
48,59,0,0,1,0,0,0,3291.6
49,34,0,0,1,0,0,0,310.7
50,38,0,0,1,0,0,0,144
53,31,0,0,0,0,0,0,341.9
54,54,0,0,1,0,0,0,1268.8
55,56,0,0,0,1,0,0,269.1
56,46,0,0,1,0,0,0,435.5
57,31,0,0,1,0,0,0,461.5
59,58,0,0,1,0,0,0,713.7
60,39,0,0,0,0,0,0,3646.5
61,38,0,0,1,0,0,0,3.9
62,43,0,0,1,0,0,0,626.6
65,54,0,0,0,1,0,0,47
66,37,0,0,1,0,0,0,5086.9
68,58,0,0,1,0,0,0,2901.6
70,37,0,0,1,0,0,0,9370.4
71,39,0,0,1,0,0,0,308.1
72,35,0,0,0,0,0,0,3061.5
73,57,0,0,0,1,0,0,1283.1
76,50,0,0,1,0,0,0,358.8
77,52,0,0,1,0,0,0,83.2
78,48,0,0,1,0,0,0,789.1
80,30,0,0,1,0,0,0,52
81,35,0,0,1,0,0,0,2592.2
82,37,0,0,1,0,0,0,278.2
83,41,0,0,1,0,0,0,5834.4
84,57,0,0,1,0,0,0,505.7
88,26,0,0,0,0,0,0,686.4
89,43,0,0,1,0,0,0,509.6
91,52,0,0,1,0,0,0,61
92,60,0,0,1,0,0,0,891.8
94,59,0,0,1,0,0,0,5703.1
95,46,0,0,0,1,0,0,661.7
97,53,0,0,0,0,0,0,129
98,46,0,0,0,1,0,0,656.5
99,49,0,0,1,0,0,0,319.8
100,38,0,0,1,0,0,0,227.5
104,44,0,0,1,0,0,0,119.6
105,59,0,0,0,1,0,0,135
106,50,0,0,0,0,0,0,1777.1
107,54,0,0,1,0,0,0,20
108,34,0,0,1,0,0,0,535.6
109,59,0,0,1,0,0,0,8043.1
110,59,0,0,1,0,0,0,1352
112,48,0,0,1,0,0,0,4737.2
113,45,0,0,0,0,0,0,2354.3
114,57,0,0,1,0,0,0,9096.1
115,53,0,0,1,0,0,0,8164
117,57,0,0,1,0,0,0,371.8
118,48,0,0,1,0,0,0,5796.7
119,57,0,0,1,0,0,0,1108.9
120,52,0,0,1,0,0,0,265.2
122,58,0,0,1,0,0,0,41
123,51,0,0,1,0,0,0,224.9
