Voter,Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church,Undecided
1,51,1,1,1,4,171,15,0,Yes
2,46,1,1,1,6,420,15,1,No
3,55,1,0,1,6,132,16,0,Yes
4,50,1,0,1,4,18,8,0,No
5,49,1,1,1,2,66,15,1,Yes
6,56,1,1,1,5,127,13,1,Yes
7,30,1,1,1,7,79,15,1,Yes
8,54,0,1,1,5,122,12,0,No
9,45,1,1,1,5,83,18,1,No
10,34,1,0,1,3,289,15,0,No
11,41,1,0,0,4,74,15,0,Yes
12,49,1,1,1,3,222,20,1,No
13,56,1,0,1,3,73,16,0,Yes
14,41,1,1,1,5,161,9,1,No
15,59,1,1,1,4,71,20,1,No
16,38,0,1,1,3,242,18,1,No
17,52,1,0,1,3,276,15,0,No
18,47,1,1,1,3,130,20,1,No
19,57,1,1,1,2,94,15,0,Yes
20,66,1,1,1,4,163,20,1,No
21,54,1,1,1,5,99,18,0,Yes
22,48,1,1,1,3,104,18,0,Yes
23,63,1,1,0,3,174,20,1,No
24,62,1,0,0,2,136,16,0,Yes
25,37,1,0,1,2,198.5,9,1,No
26,67,1,1,1,3,18,8,0,No
27,54,1,1,0,1,53,20,0,Yes
28,56,1,1,1,3,80,20,0,Yes
29,51,1,1,1,3,53,16,0,Yes
30,35,1,1,1,3,78,18,1,No
31,38,1,1,0,3,40.5,15,0,Yes
32,63,1,1,1,3,90,20,0,Yes
33,52,0,1,0,4,53,16,1,Yes
34,32,1,0,1,4,75,18,0,Yes
35,52,1,1,1,5,172,18,1,No
36,43,1,0,1,2,90,9,0,No
37,38,0,1,1,5,354,15,0,No
38,53,1,0,1,4,227,18,0,No
39,58,1,1,1,4,77,20,1,No
40,53,1,1,0,4,106,18,1,No
41,57,1,1,0,1,65,20,0,Yes
42,53,1,1,1,7,134,15,1,Yes
43,57,1,1,1,2,139,12,1,No
44,57,1,1,1,3,4,20,0,Yes
45,37,1,0,1,3,62,8,0,No
46,50,1,1,1,3,101,20,1,No
47,45,1,1,1,4,323,15,0,No
48,55,1,1,1,5,26,16,1,Yes
49,34,1,0,1,5,66,15,0,Yes
50,50,1,1,0,3,41,20,1,No
51,64,1,1,1,3,103,8,0,No
52,50,1,1,1,3,58,15,1,Yes
