Voter,Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church,Undecided
5001,51,1,1,1,2,36,20,1,No
5002,51,1,1,1,4,36,20,1,No
5003,65,1,1,1,4,52,20,0,Yes
5004,34,1,1,1,5,39,15,0,Yes
5005,54,1,1,0,1,146,20,0,Yes
5006,36,1,0,0,1,34,8,1,No
5007,24,1,1,1,3,177,8,0,No
5008,37,1,1,1,4,99,12,1,No
5009,45,1,1,1,3,5,15,0,Yes
5010,57,1,1,1,3,159,16,0,Yes
5011,41,1,1,1,5,114,15,0,Yes
5012,69,1,1,1,5,57,13,1,Yes
5013,44,1,1,1,2,29,9,0,No
5014,52,1,1,1,2,4,18,1,No
5015,34,1,1,1,4,77,18,1,No
5016,46,1,1,1,4,185,8,0,No
5017,51,1,0,1,4,56,16,1,Yes
5018,63,1,0,1,2,29,8,0,No
5019,52,0,1,1,3,196,15,1,No
5020,39,0,1,1,3,37,8,0,No
5021,43,1,1,1,6,124,16,1,Yes
5022,54,1,1,0,3,35,8,0,No
5023,51,1,0,0,1,28,18,1,No
5024,74,1,1,0,1,83,20,0,Yes
5025,44,1,1,1,5,71,15,1,Yes
5026,48,1,1,0,2,35,15,1,Yes
5027,48,1,1,0,3,164.5,15,1,Yes
5028,49,1,1,1,3,40,18,1,No
5029,42,1,0,0,3,68,15,1,Yes
5030,69,1,1,1,3,6,20,0,Yes
5031,33,1,0,1,7,154,18,1,No
5032,44,1,1,1,5,319,12,0,No
5033,43,1,1,1,2,11,15,1,Yes
5034,32,1,1,0,4,56,8,0,No
5035,68,1,1,1,5,61,13,1,Yes
5036,48,1,1,1,5,51,18,1,No
5037,49,1,1,1,7,70,15,0,Yes
5038,42,1,1,1,5,56,18,1,No
5039,62,1,1,1,6,6,8,1,No
5040,36,0,1,1,5,9,8,0,No
5041,37,1,1,1,4,365,12,0,No
5042,46,1,1,1,2,67,20,0,Yes
5043,48,1,1,1,4,93,15,1,Yes
5044,61,1,1,0,2,39,8,0,No
5045,56,0,1,1,5,182,20,0,Yes
5046,26,1,1,1,4,142.5,8,1,No
5047,65,1,0,1,3,44,20,1,No
5048,54,1,1,1,6,119,20,1,No
5049,47,1,1,1,4,116,13,0,Yes
5050,44,1,0,1,4,79,15,0,Yes
5051,28,1,1,0,7,67,11,1,No
5052,61,1,1,0,4,31,20,1,No
5053,60,1,0,1,2,123,20,1,No
5054,57,1,1,0,6,13,18,1,No
5055,42,1,1,1,5,85,12,0,No
5056,28,1,0,1,3,117,15,1,Yes
5057,56,1,1,1,3,49,20,1,No
5058,63,0,1,1,4,28,20,1,No
5059,61,1,1,1,3,133,16,1,Yes
5060,69,1,1,0,1,68,20,1,No
5061,34,1,1,1,2,66,18,0,Yes
5062,42,1,0,1,3,54,18,0,No
5063,33,1,1,1,6,97,15,0,Yes
5064,64,1,0,1,2,144,20,0,No
5065,63,1,1,0,4,69,20,0,Yes
5066,58,1,1,1,7,77,16,0,Yes
5067,35,1,1,1,3,55.5,18,0,Yes
5068,51,1,1,1,6,181,12,1,No
5069,42,1,1,1,2,101,18,0,Yes
5070,76,0,1,0,3,25,8,0,No
5071,47,1,1,1,4,144,16,1,Yes
5072,50,1,1,1,2,62,15,1,Yes
5073,52,1,1,1,5,58,20,1,No
5074,49,1,1,1,4,86.5,18,1,No
5075,54,1,1,1,3,112,10,0,No
5076,58,1,1,1,4,295,20,0,No
5077,45,1,0,1,3,88,18,0,No
5078,70,1,1,1,2,57,20,1,No
5079,28,1,1,0,6,81,15,0,Yes
5080,49,1,1,1,4,161,18,0,Yes
5081,27,1,1,1,4,92,15,1,Yes
5082,39,1,1,1,4,149,15,1,Yes
5083,41,1,1,1,4,60,20,0,Yes
5084,24,1,1,1,6,60,15,0,Yes
5085,39,1,1,1,3,63,12,0,No
5086,54,1,0,1,3,71,9,0,No
5087,52,1,1,1,3,75,16,0,Yes
5088,44,0,1,1,2,113.5,8,0,No
5089,43,0,1,1,3,49,8,1,No
5090,67,1,0,1,3,22,10,1,No
5091,59,1,1,0,1,29,8,1,No
5092,47,1,0,1,3,118,20,0,No
5093,41,1,0,1,4,105,18,1,Yes
5094,36,1,0,0,6,39,9,1,No
5095,41,1,1,1,6,71,15,1,Yes
5096,54,1,1,1,3,84,20,0,Yes
5097,37,1,1,1,4,110,8,1,No
5098,57,1,1,1,4,158,8,0,No
5099,39,1,1,0,4,118,12,1,No
5100,37,1,1,1,5,70,12,0,No
5101,61,1,1,1,3,155,13,0,Yes
5102,31,1,0,0,1,106,12,1,No
5103,35,1,1,1,2,108.5,15,0,Yes
5104,46,1,1,1,2,160,18,0,Yes
5105,68,1,1,1,3,79,20,0,Yes
5106,73,0,0,1,3,45,20,1,No
5107,52,0,1,0,1,33,8,0,No
5108,36,1,0,1,3,135,18,1,No
5109,35,1,1,1,4,145,15,1,Yes
5110,34,1,1,0,3,47,8,1,No
5111,44,0,1,1,3,128,13,0,Yes
5112,41,1,1,1,5,168,18,1,No
5113,35,1,1,1,4,82,15,0,Yes
5114,62,1,1,0,2,36,8,0,No
5115,39,1,1,1,5,199,15,1,No
5116,43,1,0,1,5,146,18,1,No
5117,31,0,1,1,5,62,8,1,No
5118,54,1,1,1,2,29,20,0,Yes
5119,74,1,1,1,3,99,20,1,No
5120,52,1,1,0,5,140,13,0,Yes
5121,43,1,1,1,6,114,15,0,Yes
5122,52,1,1,1,3,79,18,0,Yes
5123,43,1,0,0,3,58,18,1,No
5124,54,1,1,1,5,120,15,0,Yes
5125,49,1,1,1,2,74,15,1,Yes
5126,67,1,0,0,3,14,8,1,No
5127,47,1,1,1,6,82,20,0,Yes
5128,52,1,1,1,2,76,15,0,Yes
5129,45,1,1,0,2,75,20,1,No
