Customer,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn
1483,149,1,0,0.37,1,207.3,115,56.7,9.92,8.6,No
1484,52,1,0,0.00,2,217.0,104,50.0,7.62,11.8,No
1485,93,1,1,2.97,0,116.9,120,69.7,11.62,11.0,No
1486,116,1,0,0.00,0,160.7,69,40.0,7.34,8.2,No
1487,121,1,1,2.62,5,263.1,70,95.2,13.97,9.7,No
1488,55,1,1,1.97,1,207.7,91,72.7,9.99,7.3,No
1489,65,1,0,0.29,4,129.1,137,44.9,11.43,12.7,Yes
1490,85,1,0,0.00,1,102.0,95,41.0,13.51,10.7,No
1491,171,1,1,2.75,3,223.2,77,81.5,9.16,10.2,No
1492,131,1,0,0.00,1,110.9,74,29.0,5.78,15.8,No
1493,94,0,0,0.00,1,170.1,113,53.0,13.59,8.7,No
1494,94,1,0,0.00,1,206.1,49,55.0,11.23,13.0,No
1495,87,1,0,0.00,2,322.5,106,73.0,10.23,9.4,Yes
1496,105,1,0,0.00,2,102.8,74,42.0,14.09,13.2,No
1497,52,1,0,0.00,0,165.5,78,46.0,10.28,12.2,No
1498,112,1,0,0.00,2,101.1,119,36.0,10.72,10.3,No
1499,34,1,0,0.00,1,180.6,65,55.0,14.02,5.0,No
1500,80,1,1,1.03,1,190.3,115,65.3,12.83,3.8,No
1501,113,1,1,2.75,2,205.0,101,75.5,7.60,10.2,No
1502,138,0,0,0.00,1,169.3,82,48.0,10.90,9.4,No
1503,65,1,0,0.00,2,148.7,80,48.0,12.95,12.7,No
1504,105,1,1,2.35,2,147.0,112,65.5,9.87,8.7,No
1505,102,1,1,1.70,3,125.3,92,51.0,7.06,6.3,No
1506,78,0,0,0.00,1,236.8,141,63.0,13.27,9.5,Yes
1507,122,1,0,0.29,4,157.1,134,45.9,9.25,8.5,Yes
1508,165,1,1,4.32,0,111.6,140,81.2,10.67,16.0,No
1509,74,1,0,0.45,2,225.2,93,61.5,10.76,9.1,No
1510,90,1,0,0.00,1,246.4,83,56.0,8.02,7.6,No
1511,101,1,1,2.57,2,219.7,137,79.7,9.34,9.5,No
1512,149,1,1,3.05,2,264.4,102,94.5,10.98,11.3,No
1513,104,1,0,0.23,2,182.9,113,54.3,11.98,5.5,No
1514,73,1,0,0.00,4,183.4,80,52.0,12.10,7.5,No
1515,148,1,1,3.32,1,252.9,129,101.2,14.22,12.3,No
1516,145,1,0,0.00,2,187.9,110,49.0,9.85,4.8,No
1517,140,1,0,0.00,1,149.8,134,40.0,8.22,8.1,No
1518,70,1,0,0.17,0,126.3,99,35.7,7.08,9.6,No
1519,66,1,1,1.46,2,254.9,108,78.6,12.16,5.4,No
