Customer,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn
1,164,1,1,3.86,1,219.1,88,89.6,7.58,14.3,No
2,177,0,0,0.00,1,248.7,118,57.0,8.62,11.3,Yes
3,132,1,0,0.31,1,191.9,107,54.1,10.35,12.6,No
4,70,1,0,0.00,0,232.8,95,66.0,15.17,12.9,Yes
5,81,1,1,3.29,1,161.6,117,70.9,6.15,12.2,No
6,70,1,0,0.00,1,222.8,114,57.0,10.80,0.0,No
7,66,1,0,0.00,1,201.3,95,48.0,7.64,7.5,No
8,133,1,0,0.00,0,201.7,85,49.0,8.47,6.0,No
9,54,1,0,0.00,1,272.6,83,68.0,12.44,9.5,Yes
10,101,1,0,0.00,4,158.4,92,43.0,9.40,13.5,Yes
11,63,1,0,0.00,4,278.0,102,70.0,13.32,13.1,Yes
12,87,1,0,0.00,5,151.0,83,45.0,10.99,9.7,Yes
13,51,1,0,0.00,0,214.8,94,50.0,7.49,10.2,No
14,75,1,1,0.68,1,200.6,96,55.8,8.21,2.5,No
15,84,1,0,0.00,1,159.0,80,42.0,8.40,12.3,No
16,44,1,0,0.21,3,288.1,112,73.1,12.90,10.2,Yes
17,35,1,0,0.00,5,138.1,115,37.0,7.91,10.3,Yes
18,116,1,1,1.89,2,204.7,118,71.9,10.47,7.0,No
19,125,1,1,1.46,1,201.3,117,52.6,2.11,5.4,No
20,42,1,1,2.19,0,163.8,80,64.9,8.89,8.1,No
21,94,1,0,0.00,4,157.9,105,41.0,7.75,8.0,Yes
22,86,1,0,0.34,1,166.2,112,53.4,12.77,5.4,No
23,111,1,0,0.00,4,176.9,128,39.0,5.14,10.5,Yes
24,62,1,0,0.00,1,248.7,109,61.0,11.00,13.2,Yes
25,90,1,0,0.00,2,102.0,118,27.0,5.67,11.4,No
26,100,1,0,0.32,0,278.0,76,66.2,8.84,8.3,Yes
27,76,1,0,0.00,0,272.7,97,67.0,11.82,7.7,Yes
28,146,1,0,0.00,7,149.3,83,42.0,9.36,7.9,Yes
29,162,1,0,0.28,2,115.1,89,39.8,9.84,11.4,No
30,182,1,0,0.00,2,279.1,124,63.0,9.03,9.5,Yes
31,27,1,0,0.36,2,226.3,95,65.6,13.72,8.2,Yes
