Customer,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn
483,65,1,1,3.24,1,282.3,70,93.4,7.60,12.0,No
484,66,1,1,1.92,3,88.8,104,44.2,5.48,7.1,No
485,136,1,0,0.00,0,109.4,91,37.0,10.38,11.6,No
486,136,1,1,2.70,3,187.7,84,78.0,11.05,10.0,No
487,166,1,0,0.00,0,173.9,103,54.0,13.82,15.3,No
488,91,1,0,0.00,1,217.9,71,57.0,11.51,10.6,No
489,54,1,1,3.05,2,117.6,82,64.5,7.96,11.3,No
490,154,1,0,0.00,1,350.8,75,79.0,10.83,10.1,Yes
491,95,1,0,0.00,4,238.1,65,57.0,9.36,11.8,No
492,81,1,0,0.00,2,153.5,99,43.0,9.88,6.3,No
493,60,1,0,0.00,1,221.1,106,53.0,8.93,7.4,No
494,141,1,1,2.05,3,149.7,112,60.5,8.13,7.6,No
495,134,1,0,0.35,2,177.2,91,53.5,11.44,8.9,No
496,129,1,0,0.00,1,101.4,145,39.0,12.46,7.1,No
497,104,1,0,0.00,3,264.0,108,57.0,6.61,10.6,No
498,116,1,1,3.19,2,253.0,78,86.9,6.95,11.8,No
499,71,1,0,0.00,0,278.9,110,64.0,9.51,11.7,Yes
500,72,1,0,0.31,2,139.9,117,46.1,11.18,12.7,No
501,122,1,1,4.21,2,146.4,104,75.1,4.49,15.6,No
502,59,1,0,0.51,4,182.5,104,54.1,10.24,11.3,No
503,38,1,0,0.00,0,149.0,92,30.0,2.46,13.9,No
504,74,1,0,0.32,2,298.1,112,71.2,10.07,9.7,Yes
505,140,1,0,0.00,3,231.9,101,54.0,8.01,14.3,No
506,126,1,0,0.00,3,256.5,112,61.0,9.98,7.0,No
507,65,1,0,0.00,1,187.9,116,46.0,7.88,7.5,No
508,179,1,0,0.32,1,234.5,134,57.2,8.21,6.1,No
509,124,1,0,0.00,1,193.0,97,41.0,4.49,15.3,No
510,118,1,0,0.00,2,154.6,112,42.0,9.21,12.6,No
511,113,1,0,0.00,0,81.3,116,33.0,11.03,8.9,No
512,72,0,1,1.49,0,139.8,114,50.9,6.91,5.5,No
513,95,1,0,0.00,1,134.4,104,36.0,7.62,9.4,No
514,138,0,0,0.00,1,268.4,81,61.0,8.72,11.6,No
515,94,1,0,0.22,0,137.5,118,43.2,10.16,13.4,No
516,119,0,1,3.29,0,173.0,101,80.9,10.47,12.2,No
517,159,1,0,0.00,2,275.8,103,63.0,9.48,7.4,Yes
518,107,1,0,0.00,2,194.5,97,49.0,9.32,12.7,No
519,19,1,0,0.31,1,201.5,123,49.1,6.46,12.9,No
520,106,1,0,0.26,1,187.1,104,56.6,12.51,11.0,No
521,99,1,0,0.00,1,159.7,83,41.0,7.77,8.4,No
522,150,1,0,0.00,4,178.9,101,45.0,8.46,13.8,Yes
523,134,1,0,0.00,0,244.1,99,63.0,12.35,7.2,No
524,166,1,0,0.29,1,204.2,115,52.9,9.00,9.5,No
525,74,1,0,0.00,3,124.8,114,33.0,6.65,10.6,No
526,138,1,0,0.18,1,230.1,107,59.8,10.60,13.2,No
527,139,1,0,0.00,1,165.0,132,50.0,12.49,12.6,No
528,165,1,0,0.13,1,156.0,88,51.3,13.81,9.3,No
529,84,1,1,2.00,2,193.0,106,66.0,7.68,7.4,No
530,168,1,0,0.00,2,163.4,134,49.0,12.01,11.6,Yes
531,182,1,0,0.35,1,176.1,90,48.5,8.75,9.7,No
532,45,1,1,2.08,1,91.7,104,49.8,7.53,7.7,No
533,169,0,0,0.00,3,57.1,98,27.0,9.99,6.5,No
534,40,1,0,0.25,0,109.4,107,42.5,12.24,7.1,No
535,117,1,1,2.08,3,104.9,115,59.8,11.88,7.7,No
536,131,1,0,0.00,2,94.4,80,35.0,10.76,13.1,No
537,112,1,1,2.78,1,286.6,79,103.8,15.77,10.3,No
538,92,1,0,0.00,1,265.6,82,61.0,9.04,8.6,No
539,115,1,0,0.00,2,184.1,98,60.0,16.35,7.5,No
540,134,1,1,3.21,0,162.0,82,88.1,16.24,11.9,No
