Individual,BureauInquiries,CreditUsage,TotalCredit,CollectionReports,MissedPayments,HomeOwner,CreditAge,TimeOnJob,CreditScore
3919,7,0.220,21500,0,1,1,8.70,3,659
3920,7,0.120,13500,0,0,1,5.40,6,795
3921,7,0.170,18500,0,0,1,7.40,9,726
3922,6,0.290,15500,0,0,1,10.20,11,706
3923,5,0.100,14500,0,0,1,6.50,5,592
3924,7,0.260,16500,0,2,0,7.50,5,694
3925,6,0.320,16000,0,0,1,9.60,7,596
3926,7,0.230,16000,0,1,0,8.10,6,707
3927,6,0.410,17500,0,1,1,7.20,5,565
3928,8,0.220,16000,0,1,0,7.50,5,733
3929,7,0.150,14000,0,0,0,5.00,4,732
3930,6,0.200,13000,0,0,0,10.20,5,693
3931,6,0.220,13500,0,0,1,5.40,3,570
3932,7,0.280,16500,0,0,1,7.20,11,622
3933,5,0.285,13500,0,0,1,5.20,14,836
3934,6,0.210,24500,0,1,1,6.40,6,715
3935,7,0.300,18000,0,1,1,9.60,7,678
3936,5,0.320,16500,0,1,1,10.60,13,713
3937,6,0.300,26000,1,1,1,7.40,6,531
3938,6,0.190,13000,0,0,1,5.70,3,697
3939,7,0.120,17000,1,2,1,6.20,5,588
3940,8,0.130,12500,0,0,0,5.60,10,748
3941,7,0.210,14500,0,0,1,7.00,10,747
3942,5,0.240,14000,0,2,1,7.60,10,659
3943,6,0.300,17500,0,1,0,8.20,5,702
3944,6,0.495,11000,0,0,1,8.20,8,658
3945,6,0.330,17000,0,1,0,7.90,4,707
3946,7,0.400,25500,0,0,0,6.90,4,614
3947,9,0.200,19500,1,5,1,6.00,4,436
3948,6,0.360,13000,0,1,0,9.50,5,725
3949,10,0.200,19500,0,1,0,6.20,8,733
3950,6,0.230,16000,0,0,1,5.10,15,738
3951,6,0.160,22000,0,0,0,11.90,10,734
3952,7,0.470,4500,0,1,0,5.50,8,577
3953,6,0.400,29000,0,0,1,6.10,3,577
3954,6,0.320,14000,1,2,1,6.40,3,609
3955,6,0.200,17500,0,0,0,7.40,12,711
3956,7,0.310,23500,0,2,0,7.90,4,629
3957,7,0.440,13000,1,2,0,7.50,5,568
3958,6,0.220,11500,0,0,0,6.40,3,740
3959,5,0.290,7500,0,0,1,6.20,11,702
3960,6,0.220,22500,0,1,1,7.30,4,725
3961,5,0.330,8000,0,0,1,6.10,9,684
3962,7,0.290,14000,0,0,1,7.90,7,724
3963,6,0.160,17000,0,1,0,5.00,4,675
3964,6,0.220,23500,1,1,1,7.30,4,653
3965,7,0.140,17000,0,0,0,10.00,7,657
3966,6,0.280,23000,0,2,1,7.60,4,622
3967,7,0.190,18500,0,1,1,11.20,8,693
3968,8,0.280,24500,0,0,1,6.00,7,664
3969,7,0.120,16000,0,1,1,6.60,4,731
3970,7,0.230,14500,0,0,0,8.70,9,725
3971,6,0.160,15000,0,1,1,5.80,5,701
3972,6,0.280,13500,0,0,1,6.00,16,755
3973,6,0.400,15000,0,0,1,10.80,14,738
3974,8,0.270,24000,0,0,0,5.70,9,627
3975,6,0.270,10000,0,2,1,7.00,4,644
3976,6,0.340,18000,1,2,1,9.00,7,618
3977,6,0.200,20000,0,0,1,7.20,11,742
3978,7,0.120,11500,1,1,1,6.20,5,567
3979,5,0.180,29000,0,0,1,9.00,13,749
3980,7,0.560,5500,0,0,1,7.40,6,612
3981,6,0.350,25000,1,2,0,7.20,5,551
3982,7,0.380,14500,0,0,0,14.30,13,739
3983,7,0.270,16500,0,3,1,8.50,8,621
3984,6,0.270,16500,2,2,1,5.90,4,630
3985,6,0.230,19000,0,0,1,6.40,3,569
3986,7,0.290,19500,0,0,1,7.90,13,717
3987,7,0.300,22000,0,2,0,4.20,11,655
3988,7,0.250,23500,0,1,0,8.90,10,721
3989,6,0.085,17500,0,0,1,9.50,5,652
