Individual,BureauInquiries,CreditUsage,TotalCredit,CollectionReports,MissedPayments,HomeOwner,CreditAge,TimeOnJob,CreditScore
2450,6,0.450,3500,0,0,0,4.40,9,649
2451,5,0.340,15000,0,0,1,7.30,10,724
2452,5,0.320,19500,0,0,0,6.60,4,693
2453,6,0.280,17000,0,0,1,8.00,10,716
2454,6,0.350,14500,0,3,1,8.00,7,694
2455,6,0.200,15000,0,0,1,5.10,9,662
2456,6,0.360,13000,0,0,1,5.00,10,614
2457,6,0.510,13500,0,2,1,8.80,8,595
2458,8,0.150,24000,0,1,1,6.70,9,717
2459,5,0.210,12500,0,0,1,7.20,11,746
2460,7,0.160,15000,0,1,0,6.10,3,754
2461,6,0.250,29500,0,0,0,6.50,5,587
2462,7,0.170,12000,0,1,1,5.20,8,745
2463,6,0.300,23000,1,2,0,7.30,4,627
2464,7,0.140,18500,0,0,1,5.70,6,629
2465,7,0.380,22000,0,3,0,7.20,11,571
2466,6,0.370,18000,0,0,1,9.80,14,719
2467,6,0.400,24000,1,3,1,9.70,6,568
2468,8,0.340,14000,0,2,1,8.40,6,671
2469,5,0.220,11000,0,0,1,6.70,3,661
2470,7,0.400,20000,0,0,1,6.80,14,708
2471,5,0.180,15000,0,0,1,6.90,10,654
2472,7,0.320,14500,0,2,0,9.20,5,581
2473,7,0.280,27000,0,1,0,6.30,4,712
2474,6,0.220,18000,0,0,1,7.40,12,730
2475,6,0.360,15000,0,0,0,5.50,14,703
2476,7,0.310,15500,0,0,0,5.20,5,535
2477,7,0.200,51000,0,0,1,8.60,13,708
2478,6,0.130,14500,0,0,1,5.10,6,733
2479,5,0.375,21000,0,0,1,7.30,4,614
2480,7,0.290,17500,0,2,0,6.10,9,618
2481,6,0.370,11000,0,0,0,3.20,17,822
2482,6,0.180,14000,0,0,0,6.70,9,736
2483,6,0.250,18500,0,1,1,5.50,11,682
2484,6,0.190,14500,0,0,1,6.90,4,703
2485,6,0.390,18500,0,2,0,7.90,4,558
2486,7,0.300,25500,0,1,0,7.80,5,699
2487,5,0.260,16500,0,0,1,6.20,11,764
2488,6,0.280,14500,0,0,0,8.20,8,720
2489,5,0.260,13000,0,1,1,5.20,5,581
2490,7,0.170,16000,0,1,1,11.80,5,750
2491,7,0.340,14000,0,1,1,7.30,4,737
2492,6,0.150,25500,0,0,1,10.20,5,682
2493,6,0.280,14500,0,0,1,6.80,11,686
2494,6,0.340,14000,0,0,0,7.60,13,703
2495,8,0.310,15000,0,0,0,5.30,7,634
2496,6,0.220,14500,0,1,1,6.10,9,562
2497,7,0.230,15000,0,0,0,4.00,13,634
2498,7,0.250,22500,0,0,1,7.70,12,704
2499,6,0.260,18000,1,1,1,6.30,10,564
2500,6,0.280,18000,0,0,1,9.90,7,730
2501,7,0.340,12500,1,1,0,8.50,5,558
2502,7,0.260,20000,0,1,1,7.50,5,736
2503,6,0.160,9000,0,0,1,8.40,9,750
2504,8,0.330,18000,1,2,1,7.10,6,565
2505,6,0.300,22500,0,2,1,8.50,5,661
2506,6,0.220,24500,0,0,1,5.20,11,746
2507,6,0.390,17500,0,2,1,7.10,6,648
2508,5,0.320,6000,0,0,1,9.20,8,679
2509,5,0.390,13000,0,0,1,5.10,15,647
2510,6,0.300,13000,0,0,1,5.60,4,602
2511,6,0.330,15000,0,0,1,9.50,14,775
2512,6,0.300,16000,0,0,1,10.00,10,712
2513,7,0.160,20500,0,1,1,9.60,10,728
2514,6,0.250,13000,0,0,1,10.10,9,694
2515,6,0.530,7000,0,1,1,5.50,5,504
2516,6,0.210,19000,0,2,0,5.90,4,734
2517,6,0.410,13500,0,0,0,5.10,12,736
2518,6,0.170,25500,0,0,1,6.40,6,676
2519,6,0.300,15000,0,0,0,4.10,15,728
2520,8,0.200,25500,0,2,0,5.30,7,614
2521,7,0.260,22500,0,0,1,8.50,11,666
2522,6,0.320,12000,0,0,1,6.20,14,752
2523,7,0.270,21500,0,1,0,7.30,4,592
2524,7,0.320,18500,0,2,1,6.10,9,602
2525,6,0.280,17500,0,0,1,8.20,14,728
2526,5,0.340,7000,0,0,1,6.00,7,773
2527,6,0.180,16000,0,2,1,5.60,13,658
2528,6,0.200,25000,0,2,0,9.40,3,700
2529,8,0.180,15000,0,0,0,5.30,10,619
2530,8,0.230,16000,0,0,0,8.00,10,704
2531,6,0.180,13000,1,1,1,7.80,8,677
2532,6,0.230,23500,1,2,0,8.40,3,610
2533,8,0.340,17500,0,2,0,6.60,7,572
2534,7,0.240,15500,0,1,0,7.30,4,730
2535,7,0.210,21500,0,0,1,7.20,8,593
2536,6,0.300,16500,0,0,1,6.50,14,742
2537,7,0.240,18500,0,0,1,5.10,12,693
2538,5,0.280,16000,0,0,1,8.25,15,669
2539,7,0.270,17500,0,1,0,9.00,13,504
2540,6,0.260,15000,0,0,1,5.30,13,658
2541,7,0.240,18000,0,1,0,8.00,4,635
2542,6,0.270,21000,0,0,1,14.40,16,671
2543,5,0.280,19500,0,0,0,9.70,15,758
2544,6,0.220,25500,0,0,1,6.80,5,616
2545,6,0.230,18500,0,1,1,7.20,5,733
2546,6,0.320,13000,0,0,0,6.30,10,750
2547,7,0.390,19500,0,1,1,4.80,11,582
2548,7,0.250,24500,0,1,0,8.80,8,744
2549,7,0.250,19500,1,2,0,6.30,4,573
2550,6,0.240,20000,0,2,1,6.60,4,616
