Email,Percent_make,Percent_address,Percent_all,Percent_3d,Percent_our,Percent_over,Percent_remove,Percent_internet,Percent_order,Percent_mail,Percent_receive,Percent_will,Percent_people,Percent_report,Percent_free,Percent_business,Percent_email,Percent_you,Percent_credit,Percent_000,Percent_money,Percent_lab,Percent_telnet,Percent_data,Percent_technology,Percent_parts,Percent_pm,Percent_direct,Percent_cs,Percent_meeting,Percent_original,Percent_project,Percent_re,Percent_edu,Percent_table,Percent_conference,Semicolon,LeftParen,LeftSquareParen,Exclamation,Dollar,PercentSign,AvgAllCap,LongAllCap,TotalAllCap,Spam
7,0,0,0,0,1.92,0,0,0,0,0.64,0.96,1.28,0,0,0.96,0,0.32,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.16,0.05,0,1.67,4,112,Yes
9,0.15,0,0.46,0,0.61,0,0.3,0,0.92,0.76,0.76,0.92,0,0,0,0,0.15,1.23,3.53,0,0.15,0,0,0.15,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.27,0,0.18,0.2,0.02,9.74,445,1257,Yes
30,0,0,0,0,0.65,0,0.65,0,0,0,0.65,0.65,0,0,0.65,1.3,0,1.3,5.22,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0.09,0,0,2.69,66,129,Yes
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.7,5,17,Yes
40,0,0.41,1.66,0,0.41,0,0,0,0,0,0,0.41,0,0,0.41,0,0.83,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.07,0,0.75,0,0,3.85,121,285,Yes
46,0.15,0.45,1.05,0,0.45,0,0,1.81,0.6,0.75,0,0.9,0.3,0,0,0,0,4.07,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.25,0,1.32,0.07,0,5.3,130,774,Yes
52,0.73,0.36,1.09,0,0,0.73,0.73,1.09,0.36,0.36,0,0.36,0,0,1.09,0.36,0.36,2.19,2.19,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.5,0.33,0,3.25,30,179,Yes
58,0,0,1.26,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,8,51,Yes
63,0,0,0.46,0,1.39,0,0.93,0.93,0,0,0.46,0.93,0,0,1.39,0,0.46,0.93,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.07,1.44,8,75,Yes
67,0,0.48,0.48,0,1.46,0,0.48,0,0,0.97,0.48,0,0,0,0.48,0,0,0.97,0.48,0,0.48,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0.07,0,0.59,0.29,0,4.85,47,194,Yes
