Email,Percent_make,Percent_address,Percent_all,Percent_3d,Percent_our,Percent_over,Percent_remove,Percent_internet,Percent_order,Percent_mail,Percent_receive,Percent_will,Percent_people,Percent_report,Percent_free,Percent_business,Percent_email,Percent_you,Percent_credit,Percent_000,Percent_money,Percent_lab,Percent_telnet,Percent_data,Percent_technology,Percent_parts,Percent_pm,Percent_direct,Percent_cs,Percent_meeting,Percent_original,Percent_project,Percent_re,Percent_edu,Percent_table,Percent_conference,Semicolon,LeftParen,LeftSquareParen,Exclamation,Dollar,PercentSign,AvgAllCap,LongAllCap,TotalAllCap,Spam
1,0,0.64,0.64,0,0.32,0,0,0,0,0,0,0.64,0,0,0.32,0,1.29,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,3.76,61,278,Yes
5,0,0,0,0,0.63,0,0.31,0.63,0.31,0.63,0.31,0.31,0.31,0,0.31,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,3.54,40,191,Yes
8,0,0,0,0,1.88,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,2.45,11,49,Yes
11,0,0,0,0,0,0,0.96,0,0,1.92,0.96,0,0,0,0,0,0.96,3.84,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,1.31,6,21,Yes
12,0,0,0.25,0,0.38,0.25,0.25,0,0,0,0.12,0.12,0.12,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0.66,0,0,1.24,11,184,Yes
15,0,0,1.42,0,0.71,0.35,0,0.35,0,0.71,0,0.35,0,0,5.35,0,0,3.21,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.36,0,0,1.97,24,205,Yes
16,0,0.42,0.42,0,1.27,0,0.42,0,0,1.27,0,0,0,0,1.27,0,0,1.7,0.42,0,0.42,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0.06,0,0.57,0.06,0,5.66,55,249,Yes
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0.37,0,35.46,95,461,Yes
20,0,0.63,0,0,1.59,0.31,0,0,0.31,0,0,0.63,0,0,0.63,0.31,3.18,2.22,0,0.31,0.63,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0.28,0,0.06,0.5,0,3.51,91,186,Yes
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.73,0,0,3.83,9,23,Yes
