CustomerID,Age,Entrepreneur,Unemployed,Married,Divorced,HighSchool,College,AverageBalance,LoanDefault
5,52,0,0,1,0,0,0,351,No
7,35,0,0,1,0,0,0,176.8,No
8,46,0,0,1,0,0,0,52,No
15,29,0,0,1,0,0,0,811.2,No
19,44,0,0,1,0,0,0,322.4,No
22,41,0,0,1,0,0,0,397.8,No
23,47,0,0,0,1,0,0,464.1,No
32,49,0,0,1,0,0,0,396.5,No
36,42,0,0,1,0,0,0,2011.1,No
39,43,0,0,1,0,0,0,670.8,No
43,45,0,0,1,0,0,0,1163.5,No
44,50,0,0,1,0,0,0,557.7,No
46,52,0,0,1,0,0,0,417.3,No
48,59,0,0,1,0,0,0,3291.6,No
60,39,0,0,0,0,0,0,3646.5,No
62,43,0,0,1,0,0,0,626.6,No
70,37,0,0,1,0,0,0,9370.4,No
75,40,0,0,1,0,0,0,23,No
80,30,0,0,1,0,0,0,52,No
92,60,0,0,1,0,0,0,891.8,No
95,46,0,0,0,1,0,0,661.7,No
100,38,0,0,1,0,0,0,227.5,No
101,46,0,0,0,1,0,0,65,No
108,34,0,0,1,0,0,0,535.6,No
113,45,0,0,0,0,0,0,2354.3,No
116,52,0,0,1,0,0,0,1056.9,No
117,57,0,0,1,0,0,0,371.8,No
123,51,0,0,1,0,0,0,224.9,No
126,44,0,0,0,1,0,0,557.7,No
132,50,0,0,0,1,0,0,11157.9,No
143,48,0,0,1,0,0,0,3.9,No
146,37,0,0,0,0,0,0,118.3,No
148,49,0,0,1,0,0,0,891.8,No
149,56,0,0,1,0,0,0,73,No
151,54,0,0,1,0,0,0,709.8,No
155,39,0,0,1,0,0,0,663,No
156,33,0,0,1,0,0,0,648.7,No
165,45,0,0,0,1,0,0,557.7,No
184,35,0,0,1,0,0,0,245.7,No
198,50,0,0,0,0,0,0,235.3,No
202,28,0,0,0,0,0,0,32.5,No
207,46,0,0,0,1,0,0,557.7,No
210,41,0,0,0,1,1,0,351,No
215,37,0,0,0,0,1,0,115,No
222,41,0,0,1,0,1,0,456.3,No
226,26,0,0,0,0,1,0,106.6,No
228,53,0,0,0,1,1,0,1496.3,No
230,47,0,0,1,0,1,0,284.7,No
243,31,0,0,0,0,1,0,127.4,No
245,51,0,0,0,0,1,0,2.6,Yes
251,38,0,0,1,0,1,0,59.8,No
256,38,0,0,1,0,1,0,1.3,No
264,51,0,0,0,1,1,0,296.4,No
265,40,0,0,0,0,1,0,141.7,No
270,26,0,0,0,0,1,0,925.6,No
274,52,0,0,1,0,1,0,1606.8,No
275,34,0,0,0,0,1,0,140,No
290,53,0,0,1,0,1,0,317.2,No
301,48,0,0,1,0,1,0,4880.2,No
303,39,0,0,1,0,1,0,26,No
305,30,0,0,1,0,1,0,5.2,No
308,37,0,0,0,0,1,0,318.5,No
314,52,0,0,0,0,1,0,708.5,No
315,40,0,0,1,0,1,0,2730,No
316,32,0,0,0,0,1,0,83.2,No
325,46,0,0,0,1,1,0,269.1,No
327,34,0,0,1,0,1,0,617.5,No
331,48,0,0,1,0,1,0,466.7,No
339,48,0,0,0,1,1,0,348.4,No
344,30,0,0,0,1,1,0,1.3,No
356,33,0,0,0,0,1,0,393.9,No
358,32,0,0,1,0,1,0,668.2,No
361,33,0,0,0,1,1,0,182,No
370,48,0,0,0,1,1,0,347.1,No
375,33,0,0,1,0,1,0,79.3,No
379,45,0,0,1,0,1,0,403,No
384,28,0,0,1,0,1,0,327.6,No
385,25,0,0,0,0,1,0,170.3,No
389,37,0,0,0,1,1,0,44.2,No
392,31,0,0,1,0,1,0,695.5,No
395,25,0,0,0,0,1,0,1023.1,No
398,27,0,0,0,0,1,0,860.6,No
400,29,0,0,0,0,1,0,68.9,No
409,29,0,0,0,0,1,0,462.8,No
410,29,0,0,0,0,1,0,296.4,Yes
417,34,0,0,0,0,1,0,508.3,No
422,27,0,0,1,0,1,0,172.9,No
425,49,0,0,1,0,1,0,19.5,Yes
431,31,0,0,1,0,1,0,239.2,No
432,27,0,0,0,0,1,0,1.3,No
436,33,0,0,0,0,1,0,513.5,No
437,39,0,0,0,0,1,0,644.8,No
439,32,0,0,0,0,1,0,6.5,No
442,43,0,0,0,0,1,0,357.5,No
443,23,0,0,0,0,1,0,377,No
446,37,0,0,0,0,1,0,23.4,No
447,56,0,0,1,0,1,0,2713.1,No
451,32,0,0,0,1,1,0,23.4,Yes
453,23,0,0,0,0,1,0,1435.2,No
454,34,0,0,1,0,1,0,321.1,No
471,30,0,0,0,0,1,0,1786.2,No
472,36,0,0,1,0,1,0,549.9,No
