CustomerID,Age,Entrepreneur,Unemployed,Married,Divorced,HighSchool,College,AverageBalance,LoanDefault
3,41,0,0,0,1,0,0,5291,No
6,36,0,0,0,0,0,0,118.3,No
9,49,0,0,0,0,0,0,235.3,No
16,43,0,0,1,0,0,0,19.5,No
18,51,0,0,1,0,0,0,855.4,No
20,39,0,0,1,0,0,0,570.7,No
21,51,0,0,1,0,0,0,1729,No
24,46,0,0,1,0,0,0,40.3,No
29,52,0,0,0,0,0,0,115,No
31,49,0,0,0,1,0,0,451.1,No
33,43,0,0,1,0,0,0,408.2,No
34,48,0,0,1,0,0,0,3.9,No
37,30,0,0,1,0,0,0,222.3,No
38,33,0,0,0,0,0,0,335.4,No
40,51,0,0,1,0,0,0,1225.9,No
50,38,0,0,1,0,0,0,144,No
53,31,0,0,0,0,0,0,341.9,No
61,38,0,0,1,0,0,0,3.9,No
65,54,0,0,0,1,0,0,47,No
74,48,0,0,0,0,0,0,1401.4,No
77,52,0,0,1,0,0,0,83.2,No
79,26,0,0,0,0,0,0,158.6,No
84,57,0,0,1,0,0,0,505.7,No
89,43,0,0,1,0,0,0,509.6,No
91,52,0,0,1,0,0,0,61,No
93,60,0,0,1,0,0,0,577.2,No
96,57,0,0,1,0,0,0,279.5,No
102,51,0,0,1,0,0,0,748.8,No
103,38,0,0,1,0,0,0,60,No
109,59,0,0,1,0,0,0,8043.1,No
114,57,0,0,1,0,0,0,9096.1,No
120,52,0,0,1,0,0,0,265.2,No
122,58,0,0,1,0,0,0,41,No
127,57,0,0,1,0,0,0,2202.2,No
131,52,0,0,1,0,0,0,8171.8,No
133,52,0,0,1,0,0,0,3107,No
134,47,0,0,0,0,0,0,887.9,No
136,55,0,0,1,0,0,0,414.7,No
137,44,0,0,1,0,0,0,165.1,No
139,45,0,0,1,0,0,0,529.1,No
140,59,0,0,1,0,0,0,1142.7,No
141,54,0,0,1,0,0,0,35,No
142,46,0,0,1,0,0,0,609.7,No
144,52,0,0,1,0,0,0,2965.3,No
154,52,0,0,1,0,0,0,270.4,No
161,57,0,0,1,0,0,0,262.6,No
164,29,0,0,1,0,0,0,170.3,No
167,41,0,0,1,0,0,0,1710.8,No
168,56,0,0,1,0,0,0,2711.8,No
169,52,0,0,1,0,0,0,748.8,No
170,59,0,0,0,1,0,0,248.3,No
176,34,0,0,0,0,0,0,144,No
177,52,0,0,1,0,0,0,582.4,No
182,46,0,0,0,1,0,0,2349.1,No
185,54,0,0,1,0,0,0,15191.8,No
187,40,0,0,1,0,0,0,167.7,No
189,34,0,0,0,0,0,0,371.8,No
192,53,0,0,1,0,0,0,304.2,No
195,34,0,0,1,0,0,0,152,No
196,57,0,0,0,1,0,0,232.7,No
199,30,0,0,1,0,0,0,811.2,No
200,33,0,0,0,0,0,0,335.4,No
201,27,0,0,0,0,0,0,686.4,No
203,56,0,0,1,0,0,0,4630.6,No
204,67,0,0,1,0,0,0,1420.9,No
205,42,0,0,1,0,0,0,397.8,No
206,58,0,0,1,0,0,0,1454.7,No
208,72,0,0,1,0,0,0,3017.3,No
214,36,0,0,0,1,1,0,657.8,No
217,45,0,0,0,0,1,0,267.8,No
223,29,0,0,0,0,1,0,1063.4,No
227,60,0,0,0,1,1,0,119.6,No
229,42,0,0,1,0,1,0,578.5,No
231,53,0,0,0,1,1,0,409.5,No
232,44,0,0,0,1,1,0,85.8,No
234,49,0,0,1,0,1,0,556.4,No
236,37,0,0,1,0,1,0,247,No
237,41,0,0,1,0,1,0,80.6,No
240,51,0,0,1,0,1,0,690.3,No
244,42,0,0,0,0,1,0,1328.6,No
252,25,0,0,0,0,1,0,158.6,No
253,38,0,0,0,0,1,0,510.9,No
255,40,0,0,0,0,1,0,341.9,No
267,34,0,0,1,0,1,0,1129.7,No
272,52,0,0,1,0,1,0,629.2,No
278,36,0,0,1,0,1,0,137.8,No
279,56,0,0,0,1,1,0,1011.4,No
283,39,0,0,1,0,1,0,135.2,No
287,41,0,0,1,0,1,0,46,No
289,49,0,0,1,0,1,0,106.6,No
291,40,0,0,1,0,1,0,7.8,No
293,43,0,0,0,0,1,0,646.1,No
294,31,0,0,1,0,1,0,61,No
295,41,0,0,0,1,1,0,418.6,No
297,28,0,0,0,0,1,0,326.3,No
299,30,0,0,0,0,1,0,149.5,No
311,38,0,0,1,0,1,0,10.4,No
317,34,0,0,0,1,1,0,815.1,No
322,33,0,0,1,0,1,0,7.8,No
326,50,0,0,1,0,1,0,206.7,No
330,31,0,0,0,1,1,0,400.4,No
332,42,0,0,0,1,1,0,123,No
334,32,0,0,1,0,1,0,1680.9,No
338,44,0,0,0,0,1,0,39,No
342,29,0,0,0,0,1,0,1452.1,No
343,32,0,0,0,0,1,0,115.7,No
353,57,0,0,0,1,1,0,3975.4,No
359,51,0,0,0,1,1,0,442,No
360,49,0,0,0,1,1,0,218.4,No
364,28,0,0,0,1,1,0,1020.5,No
367,36,0,0,0,1,1,0,644.8,No
372,32,0,0,0,0,1,0,239.2,No
376,37,0,0,1,0,1,0,18.2,No
378,33,0,0,1,0,1,0,5215.6,No
380,32,0,0,0,1,1,0,365.3,No
382,45,0,0,1,0,1,0,234,No
383,45,0,0,0,0,1,0,114.4,No
386,31,0,0,1,0,1,0,399.1,No
387,31,0,0,1,0,1,0,461.5,No
388,28,0,0,0,0,1,0,3680.3,No
391,29,0,0,1,0,1,0,14,No
393,29,0,0,0,1,1,0,139,No
396,43,0,0,1,0,1,0,800.8,No
401,37,0,0,0,0,1,0,1446.9,No
406,44,0,0,1,0,1,0,609.7,No
407,37,0,0,1,0,1,0,462.8,No
412,25,0,0,1,0,1,0,13,No
413,38,0,0,1,0,1,0,328.9,No
414,32,0,0,0,1,1,0,55.9,No
415,29,0,0,0,0,1,0,5181.8,No
418,28,0,0,0,0,1,0,317.2,No
423,31,0,0,0,0,1,0,806,No
426,47,0,0,0,0,1,0,19.5,No
427,34,0,0,0,1,1,0,286,No
434,31,0,0,1,0,1,0,438.1,No
435,29,0,0,0,1,1,0,1158.3,No
438,28,0,0,1,0,1,0,1244.1,No
449,35,0,0,0,0,1,0,1111.5,No
455,32,0,0,0,0,1,0,1905.8,No
460,53,0,0,1,0,1,0,604.5,No
463,56,0,0,1,0,1,0,14.3,No
464,26,0,0,0,1,1,0,3.9,Yes
468,24,0,0,0,0,1,0,1098.5,No
473,28,0,0,0,0,1,0,384.8,No
474,23,0,0,0,0,1,0,6.5,No
476,41,0,0,1,0,1,0,916.5,No
477,31,0,0,0,1,1,0,328.9,No
483,54,0,0,0,1,1,0,2358.2,No
484,51,0,0,0,0,1,0,4071.6,No
491,35,0,0,1,0,1,0,72.8,No
497,44,0,0,1,0,1,0,1849.9,No
498,32,0,0,0,1,1,0,2094.3,No
499,42,0,0,1,0,1,0,166.4,No
506,58,0,0,1,0,1,0,4725.5,No
