Year,Title,OscarNominations,GoldenGlobeWins,Comedy,Winner
1984,A Soldier's Story,3,0,0,No
1984,Places in the Heart,7,1,0,No
1984,The Killing Fields,7,1,0,No
1984,A Passage to India,11,3,0,No
1984,Amadeus,11,4,0,Yes
1985,Prizzi's Honor,8,4,1,No
1985,Kiss of the Spider Woman,4,0,0,No
1985,Witness,8,0,0,No
1985,The Color Purple,11,1,0,No
1985,Out of Africa,11,3,0,Yes
1986,Hannah and Her Sisters,7,1,1,No
1986,Children of a Lesser God,5,1,0,No
1986,A Room with a View,8,1,0,No
1986,The Mission,7,2,0,No
1986,Platoon,8,3,0,Yes
1987,Hope and Glory,5,1,1,No
1987,Broadcast News,7,0,1,No
1987,Fatal Attraction,6,0,0,No
1987,Moonstruck,6,2,0,No
1987,The Last Emperor,9,4,0,Yes
1988,Working Girl,6,4,1,No
1988,The Accidental Tourist,4,0,0,No
1988,Mississippi Burning,7,0,0,No
1988,Dangerous Liaisons,7,0,0,No
1988,Rain Man,8,2,0,Yes
1989,Field of Dreams,3,0,0,No
1989,Dead Poets Society,4,0,0,No
1989,My Left Foot,5,0,0,No
1989,Driving Miss Daisy,9,3,0,Yes
1989,Born on the Fourth of July,8,4,0,No
1990,Awakenings,3,0,0,No
1990,Goodfellas,6,0,0,No
1990,The Godfather Part III,7,0,0,No
1990,Ghost,5,1,0,No
1990,Dances With Wolves,12,3,0,Yes
1991,The Silence of the Lambs,7,1,0,Yes
1991,The Prince of Tides,7,1,0,No
1991,JFK,8,1,0,No
1991,Bugsy,10,1,0,No
1991,Beauty and the Beast,6,3,0,No
1992,A Few Good Men,4,0,0,No
1992,The Crying Game,6,0,0,No
1992,Scent of a Woman,4,3,0,No
1992,Howards End,9,1,0,No
1992,Unforgiven,9,2,0,Yes
1993,In the Name of the Father,7,0,0,No
1993,The Remains of the Day,8,0,0,No
1993,The Fugitive,7,1,0,No
1993,The Piano,8,1,0,No
1993,Schindler's List,12,3,0,Yes
1994,Quiz Show,4,0,0,No
1994,Four Weddings and a Funeral,2,1,0,No
1994,The Shawshank Redemption,7,0,0,No
1994,Pulp Fiction,7,1,0,No
1994,Forrest Gump,13,3,0,Yes
1995,Babe,7,1,1,No
1995,The Postman (Il Postino),5,0,1,No
1995,Apollo 13,9,0,0,No
1995,Sense and Sensibility,7,2,0,No
1995,Braveheart,10,1,0,Yes
1996,Fargo,7,0,0,No
1996,Jerry Maguire,5,1,0,No
1996,Secrets & Lies,5,1,0,No
1996,Shine,7,1,0,No
1996,The English Patient,12,2,0,Yes
1997,The Full Monty,4,0,1,No
1997,As Good as it Gets,7,3,1,No
1997,L.A. Confidential,9,1,0,No
1997,Good Will Hunting,9,1,0,No
1997,Titanic,14,4,0,Yes
1998,Life is Beautiful,7,0,0,No
1998,The Thin Red Line,7,0,0,No
1998,Elizabeth,7,1,0,No
1998,Saving Private Ryan,11,2,0,No
1998,Shakespeare in Love,13,3,0,Yes
1999,The Green Mile,4,0,0,No
1999,The Sixth Sense,6,0,0,No
1999,The Cider House Rules,7,0,0,No
1999,The Insider,7,0,0,No
1999,American Beauty,8,3,0,Yes
2000,Chocolat,5,0,1,No
2000,Erin Brockovich,5,1,0,No
2000,Traffic,5,2,0,No
2000,"Crouching Tiger, Hidden Dragon",10,2,0,No
2000,Gladiator,12,2,0,Yes
2001,In the Bedroom,5,1,0,No
2001,Gosford Park,7,1,0,No
2001,The Lord of the Rings: The Fellowship of the Ring,13,0,0,No
2001,Moulin Rouge,8,3,0,No
2001,A Beautiful Mind,8,4,0,Yes
2002,The Lord of the Rings: The Two Towers,6,0,0,No
2002,The Pianist,7,0,0,No
2002,The Hours,9,2,0,No
2002,Gangs of New York,10,2,0,No
2002,Chicago,13,3,0,Yes
2003,Seabiscuit,7,0,0,No
2003,Master and Commander: The Far Side of the World,10,0,0,No
2003,Mystic River,6,2,0,No
2003,Lost in Translation,4,3,0,No
2003,The Lord of the Rings: The Return of the King,11,4,0,Yes
2004,Sideways,5,2,1,No
2004,Finding Neverland,7,0,0,No
2004,Ray,6,1,0,No
2004,Million Dollar Baby,7,2,0,Yes
2004,The Aviator,11,3,0,No
2005,Crash,6,0,0,Yes
2005,Brokeback Mountain,8,4,0,No
2005,Capote,5,1,0,No
2005,"Good Night, and Good Luck",6,0,0,No
2005,Munich,5,0,0,No
2006,Babel,7,1,0,No
2006,The Departed,5,1,0,Yes
2006,Letters from Iwo Jima,4,1,0,No
2006,Little Miss Sunshine,4,0,1,No
2006,The Queen,6,2,0,No
2007,Atonement,7,2,0,No
2007,Juno,4,0,1,No
2007,Michael Clayton,7,0,0,No
2007,There Will Be Blood,8,1,0,No
2007,No Country For Old Mean,8,2,0,Yes
