Year,Title,OscarNominations,GoldenGlobeWins,Comedy,Winner
2008,The Curious Case of Benjamin Button,13,0,0,No
2008,Frost / Nixon,5,0,0,No
2008,Milk,8,0,0,No
2008,The Reader,5,1,0,No
2008,Slumdog Millionaire,10,4,0,Yes
2009,The Hurt Locker,9,0,0,Yes
2009,Avatar,9,2,0,No
2009,The Blind Side,2,1,0,No
2009,District 9,4,0,0,No
2009,An Education,3,0,0,No
2009,Inglourious Bastards,8,1,0,No
2009,Precious,6,1,0,No
2009,A Serious Man,2,0,1,No
2009,Up,5,2,0,No
2009,Up in the Air,6,0,0,No
2010,The King's Speech,12,1,0,Yes
2010,Black Swan,5,1,0,No
2010,The Fighter,7,2,0,No
2010,Inception,8,0,0,No
2010,The Kids Are All Right,4,2,1,No
2010,127 Hours,6,0,0,No
2010,The Social Network,8,4,0,No
2010,Toy Story 3,5,1,1,No
2010,True Grit,10,0,0,No
2010,Winter's Bone,4,0,0,No
2011,The Artist,10,3,0,Yes
2011,The Descendants,5,2,1,No
2011,Extremely Loud and Incredibly Close,2,0,0,No
2011,The Help,4,1,0,No
2011,Midnight in Paris,4,1,1,No
2011,Moneyball,6,0,0,No
2011,The Tree of Life,3,0,0,No
2011,War Horse,6,0,0,No
2012,Argo,7,1,0,Yes
2012,Amour,5,1,0,No
2012,Beasts of the Southern Wild,4,0,0,No
2012,Django Unchained,5,2,0,No
2012,Les Miserables,8,3,0,No
2012,Life of Pi,11,1,0,No
2012,Lincoln,12,1,0,No
2012,Silver Linings Playbook,8,1,1,No
2012,Zero Dark Thirty,5,1,0,No
2013,12 Years a Slave,6,1,0,Yes
2013,American Hustle,10,3,1,No
2013,Captain Phillips,6,0,0,No
2013,Dallas Buyers Club,6,2,0,No
2013,Gravity,10,1,0,No
2013,Her,5,1,0,No
2013,Nebraska,6,0,1,No
2013,Philomena,4,0,1,No
2013,The Wolf of Wall Street,5,1,1,No
2014,Birdman,9,2,1,Yes
2014,American Sniper,6,0,0,No
2014,Boyhood,6,3,0,No
2014,The Grand Budapest Hotel,9,1,1,No
2014,The Imitation Game,8,0,0,No
2014,Selma,2,1,0,No
2014,The Theory of Everything,5,2,0,No
2014,Whiplash,5,1,0,No
2015,Spotlight,6,0,0,Yes
2015,The Big Short,5,0,1,No
2015,Bridge of Spies,6,0,0,No
2015,Brooklyn,3,0,0,No
2015,Mad Max: Fury Road,10,0,0,No
2015,The Martian,7,2,0,No
2015,The Revenant,12,3,0,No
2015,Room,4,1,0,No
2016,Moonlight,8,1,0,Yes
2016,Arrival,8,0,0,No
2016,Fences,4,1,0,No
2016,Hacksaw Ridge,6,0,0,No
2016,Hell or High Water,4,0,0,No
2016,Hidden Figures,3,0,0,No
2016,La La Land,14,7,1,No
2016,Lion ,6,0,0,No
2016,Manchester by the Sea,6,1,0,No
