Customer,Spending,Card,Coupon
939,2186,0,No
746,5969,1,Yes
214,3556,1,No
803,4838,1,Yes
551,2492,1,No
218,1488,0,No
579,4803,0,No
623,1754,0,No
888,3189,0,No
884,2381,0,No
158,7149,1,Yes
718,2603,1,No
789,3740,1,No
330,2918,0,No
370,4308,0,No
105,2402,1,No
834,2453,1,No
438,2257,0,No
707,2427,0,No
594,4129,0,No
909,1492,0,No
337,1349,0,No
664,2509,0,No
447,4842,1,Yes
360,4546,1,Yes
388,2717,0,No
769,2169,1,No
997,1936,0,No
912,3468,1,Yes
403,6087,1,Yes
70,2059,0,No
989,3854,0,No
882,2527,0,No
830,3675,1,No
499,2264,0,No
295,5027,1,Yes
933,2558,1,No
956,2862,0,No
922,5335,1,Yes
925,472,1,No
616,2049,0,No
798,3277,1,No
788,1358,1,No
796,5979,0,No
523,1391,0,No
631,1451,1,No
224,2265,0,No
666,1299,1,No
392,2090,1,No
50,4004,1,Yes
673,1742,0,No
252,3092,1,No
286,2166,0,No
117,968,1,No
611,2583,1,No
687,2033,0,No
55,1677,1,No
257,2655,1,No
735,4555,0,No
260,5774,0,No
536,944,1,No
713,1088,0,No
489,2737,0,No
699,2205,1,No
625,2669,1,No
576,2993,1,No
442,3275,0,No
702,2784,0,No
907,3730,1,No
421,4340,0,No
77,5991,0,Yes
53,4414,0,No
125,3276,1,No
587,1803,0,No
733,3017,1,No
761,1682,1,No
927,2231,1,No
748,2542,0,No
476,1007,1,No
208,1349,0,No
542,2125,0,No
154,5319,1,Yes
754,1700,1,No
222,2922,0,No
517,5398,0,No
924,2885,1,No
426,8007,1,Yes
472,3310,1,No
2,3215,1,No
548,2464,0,No
184,3471,0,No
236,2050,1,No
648,3043,0,No
515,3965,1,Yes
486,2839,1,No
630,3357,0,No
955,1552,0,No
756,7207,0,No
875,3892,0,No
229,1649,1,No
774,3412,0,No
104,4787,0,No
903,4384,0,No
660,6507,0,No
575,4717,1,No
163,1221,1,No
411,1933,0,No
694,6959,1,Yes
460,4683,1,Yes
795,4239,0,No
290,6855,1,Yes
207,797,1,No
328,3384,0,No
350,2481,1,No
971,1816,1,No
470,4084,1,Yes
869,1540,1,No
964,3359,0,No
966,1710,0,No
667,9102,0,Yes
457,1655,0,No
126,5198,0,No
385,5990,0,No
516,1688,1,No
560,3015,0,No
228,2743,0,No
347,1872,0,No
729,3008,1,No
716,5597,1,Yes
840,1148,1,No
204,2483,0,No
235,1935,0,No
170,7137,1,Yes
996,804,1,No
422,2891,0,No
13,1512,0,No
223,5344,1,Yes
497,3561,0,No
731,2107,0,No
493,1747,0,No
910,3255,1,No
887,5284,1,Yes
243,2777,1,No
285,2732,0,No
318,2684,1,No
314,2815,0,No
335,2165,1,No
463,2224,1,No
727,1625,1,No
38,6851,1,Yes
99,2630,1,No
758,2050,1,No
979,2049,1,No
248,2855,1,No
440,1668,1,No
138,1856,1,No
144,2064,0,No
251,2739,0,No
738,3510,0,No
333,6023,1,Yes
982,3277,0,No
31,1138,0,No
473,5375,1,Yes
492,2668,1,No
569,3871,1,No
27,3993,1,Yes
703,1763,0,No
863,2681,0,No
852,3414,0,No
354,2362,0,No
94,6073,1,Yes
541,2045,0,No
194,6204,0,No
14,2148,0,Yes
394,3165,0,No
785,1765,1,No
502,2352,1,No
361,4516,0,No
17,1307,0,No
72,2323,1,No
899,1302,1,No
808,2196,0,No
655,2269,1,No
4,3924,0,No
596,2513,1,No
837,7406,1,Yes
165,5028,1,Yes
565,5020,0,No
602,4637,1,Yes
776,2751,1,No
500,2284,0,No
562,4369,1,Yes
914,1607,0,No
309,4724,0,No
617,1070,1,No
467,9216,0,Yes
43,1657,1,No
821,2233,1,No
237,5935,0,No
589,2911,0,No
932,4417,1,No
873,3095,0,No
977,2063,1,No
36,1980,1,No
942,4685,1,Yes
674,5976,1,Yes
571,7399,1,Yes
824,3182,1,No
573,3417,1,Yes
599,2306,1,No
458,5661,0,No
439,1578,0,No
275,2497,1,No
116,2366,0,No
697,2733,1,No
851,2133,1,No
279,9043,1,Yes
10,3345,0,No
6,2473,0,Yes
609,5120,0,No
368,2582,1,No
1000,5816,1,Yes
456,10470,1,Yes
747,2360,0,No
64,2049,0,No
930,3268,1,Yes
765,3544,0,No
183,2044,0,No
139,5257,1,Yes
833,1028,0,No
781,7036,1,Yes
407,2782,1,No
800,1855,1,No
653,1183,1,No
558,8302,0,Yes
740,5955,1,Yes
566,1297,1,No
654,804,1,No
539,3830,1,No
405,4623,1,Yes
612,4135,0,No
281,3419,0,No
378,5144,0,No
233,2553,0,No
247,2868,1,No
509,1995,0,No
685,1734,0,No
162,3242,1,No
51,1068,1,Yes
690,7456,1,Yes
879,2291,1,No
701,5142,1,Yes
554,3149,1,No
540,984,1,No
268,1371,0,No
680,10367,0,Yes
69,3253,0,No
147,6930,0,No
853,5059,1,No
140,3575,0,No
943,2949,1,No
886,6701,0,No
419,3045,0,No
87,6486,1,Yes
410,1455,1,No
763,1295,1,No
191,1553,0,No
725,4051,1,Yes
307,3524,1,No
487,3283,0,No
313,2079,0,No
362,487,1,No
714,3291,0,No
606,798,0,No
721,5180,1,Yes
44,1075,0,No
259,3631,1,No
860,1564,0,No
619,1793,1,No
176,2309,0,No
258,2687,1,No
981,2633,0,No
344,1959,0,No
3,2135,1,No
954,3542,0,No
881,1995,1,No
974,3514,1,No
582,4373,1,No
512,3065,1,No
948,2139,0,No
691,5214,1,Yes
293,1835,0,No
567,1733,0,No
862,6063,0,No
319,6988,1,Yes
710,2325,0,No
19,2936,0,No
283,1395,1,No
634,1747,1,No
74,2678,1,Yes
