Email,LeftParen,LeftSquareParen,Exclamation,Dollar,PercentSign,AvgAllCap,LongAllCap,TotalAllCap,Spam
1,0,0,0.78,0,0,3.76,61,278,Yes
2,0.13,0,0.37,0.18,0.05,5.11,101,1028,Yes
3,0.14,0,0.28,0.18,0.01,9.82,485,2259,Yes
4,0.14,0,0.14,0,0,3.54,40,191,Yes
5,0.14,0,0.14,0,0,3.54,40,191,Yes
6,0.22,0,0,0,0,3,15,54,Yes
8,0.21,0,0,0,0,2.45,11,49,Yes
10,0.03,0,0.24,0.08,0,1.73,43,749,Yes
11,0,0,0.46,0,0,1.31,6,21,Yes
12,0.04,0,0.66,0,0,1.24,11,184,Yes
13,0.06,0,0.79,0,0,3.73,61,261,Yes
14,0,0,0,0,0,2.08,7,25,Yes
15,0.1,0,0.36,0,0,1.97,24,205,Yes
16,0.06,0,0.57,0.06,0,5.66,55,249,Yes
17,0,0,0.43,0,0,4.65,31,107,Yes
18,0,0,1.98,0.37,0,35.46,95,461,Yes
19,0.18,0,0.46,0,0,1.32,4,70,Yes
20,0.28,0,0.06,0.5,0,3.51,91,186,Yes
21,0.73,0,0.73,0,0,3.83,9,23,Yes
22,0.1,0.02,0.25,0.05,0.06,2.57,66,2259,Yes
23,0.4,0,0.81,0,0,4.86,12,34,Yes
24,0.13,0,0.67,0,0,1.13,5,69,Yes
25,0.2,0,0.39,0.2,0,5.47,22,82,Yes
26,0.1,0.02,0.25,0.05,0.06,2.57,66,2258,Yes
27,0.2,0,0.39,0.2,0,5.47,22,82,Yes
28,0,0,0.37,0,0,2.61,12,47,Yes
29,0.35,0,0.35,0,0,4,11,36,Yes
31,0,0,0.89,0,0,1.97,10,59,Yes
32,0.35,0,2.11,0,0,3.91,11,43,Yes
33,0.05,0,0,0.09,0,1.39,11,89,Yes
35,0,0.19,0,0,0,3.83,30,264,Yes
36,0.31,0,1.54,0,0,2.78,6,25,Yes
37,0.44,0,0.87,0,0,4.14,12,29,Yes
38,0.08,0,0.49,0.24,0,5.43,78,239,Yes
39,0.08,0,0.96,0,0,3.1,61,186,Yes
41,0.05,0,0.21,0.21,0,2.13,30,226,Yes
42,0.34,0,0.67,0,0,4,12,28,Yes
